"image","xmin","ymin","xmax","ymax","label"
"WIN_20200819_15_18_09_Pro.jpg",0,41.55844155844156,597.9220779220778,571.4285714285714,"squid_peanut"
"WIN_20200819_15_18_09_Pro.jpg",558.4415584415584,137.14285714285714,740.2597402597403,344.93506493506493,"cidar"
"WIN_20200819_15_18_09_Pro.jpg",715.3246753246752,69.6103896103896,906.4935064935064,395.8441558441558,"diget_ori"
"WIN_20200819_15_18_09_Pro.jpg",902.3376623376622,21.818181818181817,1082.0779220779218,362.59740259740255,"welchs"
"WIN_20200819_15_18_09_Pro.jpg",270.64935064935065,431.1688311688311,505.45454545454544,646.2337662337661,"diget_choco"
"WIN_20200819_15_18_09_Pro.jpg",550.12987012987,408.3116883116883,772.4675324675324,628.5714285714284,"toreta"
"WIN_20200819_15_18_09_Pro.jpg",521.038961038961,620.2597402597402,686.2337662337662,781.2987012987012,"coke"
"WIN_20200819_15_18_09_Pro.jpg",672.7272727272726,608.8311688311687,944.9350649350648,953.7662337662337,"zec"
"WIN_20200819_15_18_09_Pro.jpg",884.6753246753246,343.89610389610385,1196.3636363636363,880,"homerunball"
"WIN_20200819_15_18_09_Pro.jpg",150.1298701298701,627.5324675324674,458.7012987012987,956.8831168831167,"buttering"
"WIN_20200819_15_17_54_Pro.jpg",11.428571428571427,0,575.5844155844153,366.75324675324674,"squid_peanut"
"WIN_20200819_15_17_54_Pro.jpg",569.8701298701299,2.0779220779220777,763.1168831168831,211.94805194805193,"welchs"
"WIN_20200819_15_17_54_Pro.jpg",891.9480519480518,244.15584415584414,1223.8961038961038,430.12987012987,"diget_choco"
"WIN_20200819_15_17_54_Pro.jpg",563.6363636363636,223.37662337662334,891.9480519480519,433.2467532467532,"diget_ori"
"WIN_20200819_15_17_54_Pro.jpg",83.63636363636363,325.19480519480516,474.2857142857142,447.79220779220776,"cidar"
"WIN_20200819_15_17_54_Pro.jpg",557.4025974025974,408.3116883116883,767.2727272727273,624.4155844155844,"toreta"
"WIN_20200819_15_17_54_Pro.jpg",18.18181818181818,456.10389610389603,533.5064935064934,724.1558441558441,"homerunball"
"WIN_20200819_15_17_54_Pro.jpg",524.1558441558441,620.2597402597402,685.1948051948051,780.2597402597402,"coke"
"WIN_20200819_15_17_54_Pro.jpg",38.96103896103896,724.1558441558441,611.4285714285714,909.090909090909,"buttering"
"WIN_20200819_15_17_54_Pro.jpg",617.6623376623376,732.4675324675324,1258.7012987012986,912.2077922077921,"zec"
"WIN_20200819_15_18_34_Pro.jpg",36.88311688311688,29.090909090909086,592.7272727272726,560,"squid_peanut"
"WIN_20200819_15_18_34_Pro.jpg",954.2857142857142,161.03896103896102,1253.5064935064934,393.7662337662337,"diget_choco"
"WIN_20200819_15_18_34_Pro.jpg",377.6623376623376,3.1168831168831166,609.3506493506493,183.89610389610388,"diget_ori"
"WIN_20200819_15_18_34_Pro.jpg",535.5844155844155,3.1168831168831166,789.090909090909,588.0519480519481,"homerunball"
"WIN_20200819_15_18_34_Pro.jpg",740.2597402597402,250.38961038961037,932.4675324675324,439.48051948051943,"cidar"
"WIN_20200819_15_18_34_Pro.jpg",96.10389610389609,420.77922077922074,420.2597402597402,637.9220779220778,"toreta"
"WIN_20200819_15_18_34_Pro.jpg",775.5844155844155,525.7142857142857,984.4155844155844,713.7662337662337,"coke"
"WIN_20200819_15_18_34_Pro.jpg",960.5194805194805,497.6623376623376,1222.3376623376623,703.3766233766233,"welchs"
"WIN_20200819_15_18_34_Pro.jpg",558.4415584415584,587.012987012987,783.8961038961038,923.6363636363635,"zec"
"WIN_20200819_15_18_34_Pro.jpg",104.4155844155844,599.4805194805194,480.5194805194805,916.3636363636363,"buttering"
"WIN_20200819_15_18_57_Pro.jpg",1.5584415584415583,2.0779220779220777,368.31168831168833,222.3376623376623,"diget_choco"
