class_id,xmin,ymin,xmax,ymax,label
00000.jpg,0,41.55844156,597.9220779,571.4285714,squid_peanut
00000.jpg,558.4415584,137.1428571,740.2597403,344.9350649,cidar
00000.jpg,715.3246753,69.61038961,906.4935065,395.8441558,diget_ori
00000.jpg,902.3376623,21.81818182,1082.077922,362.5974026,welchs
00000.jpg,270.6493506,431.1688312,505.4545455,646.2337662,diget_choco
00000.jpg,550.1298701,408.3116883,772.4675325,628.5714286,toreta
00000.jpg,521.038961,620.2597403,686.2337662,781.2987013,coke
00000.jpg,672.7272727,608.8311688,944.9350649,953.7662338,zec
00000.jpg,884.6753247,343.8961039,1196.363636,880,homerunball
00000.jpg,150.1298701,627.5324675,458.7012987,956.8831169,buttering
00001.jpg,11.42857143,0,575.5844156,366.7532468,squid_peanut
00001.jpg,569.8701299,2.077922078,763.1168831,211.9480519,welchs
00001.jpg,891.9480519,244.1558442,1223.896104,430.1298701,diget_choco
00001.jpg,563.6363636,223.3766234,891.9480519,433.2467532,diget_ori
00001.jpg,83.63636364,325.1948052,474.2857143,447.7922078,cidar
00001.jpg,557.4025974,408.3116883,767.2727273,624.4155844,toreta
00001.jpg,18.18181818,456.1038961,533.5064935,724.1558442,homerunball
00001.jpg,524.1558442,620.2597403,685.1948052,780.2597403,coke
00001.jpg,38.96103896,724.1558442,611.4285714,909.0909091,buttering
00001.jpg,617.6623377,732.4675325,1258.701299,912.2077922,zec
00002.jpg,36.88311688,29.09090909,592.7272727,560,squid_peanut
00002.jpg,954.2857143,161.038961,1253.506494,393.7662338,diget_choco
00002.jpg,377.6623377,3.116883117,609.3506494,183.8961039,diget_ori
00002.jpg,535.5844156,3.116883117,789.0909091,588.0519481,homerunball
00002.jpg,740.2597403,250.3896104,932.4675325,439.4805195,cidar
00002.jpg,96.1038961,420.7792208,420.2597403,637.9220779,toreta
00002.jpg,775.5844156,525.7142857,984.4155844,713.7662338,coke
00002.jpg,960.5194805,497.6623377,1222.337662,703.3766234,welchs
00002.jpg,558.4415584,587.012987,783.8961039,923.6363636,zec
00002.jpg,104.4155844,599.4805195,480.5194805,916.3636364,buttering
00003.jpg,1.558441558,2.077922078,368.3116883,222.3376623,diget_choco
00003.jpg,876.3636364,2.077922078,1057.142857,658.7012987,zec
00003.jpg,1062.337662,192.2077922,1244.155844,508.0519481,diget_ori
00003.jpg,42.07792208,225.4545455,408.8311688,769.8701299,homerunball
00003.jpg,257.1428571,72.72727273,892.987013,524.6753247,squid_peanut
00003.jpg,312.2077922,475.8441558,555.3246753,696.1038961,toreta
00003.jpg,37.92207792,732.4675325,634.2857143,932.987013,buttering
00003.jpg,658.1818182,703.3766234,838.961039,946.4935065,coke
00003.jpg,815.0649351,688.8311688,1048.831169,936.1038961,welchs
00003.jpg,990.6493506,690.9090909,1270.12987,947.5324675,cidar
00004.jpg,27.01298701,47.79220779,389.6103896,260.7792208,diget_choco
00004.jpg,449.3506494,28.05194805,848.8311688,194.2857143,cidar
00004.jpg,872.2077922,32.20779221,1237.922078,201.5584416,welchs
00004.jpg,58.7012987,259.7402597,572.987013,531.9480519,homerunball
00004.jpg,579.2207792,209.8701299,885.7142857,395.8441558,diget_ori
00004.jpg,7.792207792,538.1818182,635.3246753,932.987013,squid_peanut
00004.jpg,554.2857143,408.3116883,773.5064935,630.6493506,toreta
00004.jpg,880.5194805,390.6493506,1119.480519,556.8831169,coke
00004.jpg,604.1558442,590.1298701,1251.428571,745.974026,zec
00004.jpg,680,749.0909091,1235.844156,939.2207792,buttering
00005.jpg,1.558441558,35.32467532,676.8831169,255.5844156,zec
00005.jpg,834.8051948,49.87012987,1034.285714,380.2597403,diget_ori
00005.jpg,657.1428571,171.4285714,880.5194805,402.0779221,toreta
00005.jpg,1036.363636,171.4285714,1187.012987,536.1038961,coke
00005.jpg,397.4025974,119.4805195,720.5194805,791.6883117,squid_peanut
00005.jpg,231.1688312,299.2207792,477.4025974,896.6233766,buttering
